1876036	-236
2365027	-18166
1973211	-21103
1398237	-3720
2407536	1907
2379475	-3393
2506954	28442
2682013	6693
1821120	15436
2129830	-9531
1997026	-19511
1449972	-98
2346194	-3553
2424453	7821
2848810	38009
2608414	6301
1909538	8760
2435612	-8396
2010549	-13990
1411087	3934
2454081	-6256
2367635	7035
2918190	30255
2640169	-620
1908213	10462
2530459	-22315
1983003	-19380
1407153	-4185
2380101	11207
2418841	15554
2829676	46898
2632248	9407
1883317	8763
2440054	-2671
1980627	-26751
1366068	-4793
2389348	707
2386019	606
2868427	29760
2664522	4148
1862012	14266
2424228	-12953
1981110	-12417
1450150	-5437
2392813	-36874
2439385	-2975
2760007	32168
2669466	4751
